symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-09-08 00:00:00+00:00,112.82,118.99,112.68,113.95,231366563,110.9801905,117.0495734,110.8424736,112.0917631,231366563,0,1
AAPL,2020-09-09 00:00:00+00:00,117.32,119.14,115.26,117.26,176940455,115.4068069,117.1971273,113.3804003,115.3477853,176940455,0,1
AAPL,2020-09-10 00:00:00+00:00,113.49,120.5,112.5,120.36,182274391,111.6392645,118.5349491,110.6654089,118.3972321,182274391,0,1
AAPL,2020-09-11 00:00:00+00:00,112,115.23,110,114.57,180860325,110.1735626,113.3508895,108.2061776,112.7016524,180860325,0,1
AAPL,2020-09-14 00:00:00+00:00,115.355,115.93,112.8,114.72,140150087,113.4738511,114.0394743,110.9605167,112.8492063,140150087,0,1
AAPL,2020-09-15 00:00:00+00:00,115.54,118.829,113.61,118.33,184642039,113.6558342,116.8911989,111.7573076,116.4003363,184642039,0,1
AAPL,2020-09-16 00:00:00+00:00,112.13,116,112.04,115.23,155026675,110.3014427,114.1083327,110.2129103,113.3508895,155026675,0,1
AAPL,2020-09-17 00:00:00+00:00,110.34,112.2,108.71,109.72,178010968,108.540633,110.3703011,106.9372142,107.9307437,178010968,0,1
AAPL,2020-09-18 00:00:00+00:00,106.84,110.88,106.09,110.4,287104882,105.0977092,109.071827,104.3599398,108.5996546,287104882,0,1
AAPL,2020-09-21 00:00:00+00:00,110.08,110.19,103.1,104.54,195713815,108.284873,108.3930792,101.4186992,102.8352164,195713815,0,1
AAPL,2020-09-22 00:00:00+00:00,111.81,112.86,109.16,112.68,183055373,109.9866611,111.0195382,107.3798759,110.8424736,183055373,0,1
AAPL,2020-09-23 00:00:00+00:00,107.12,112.11,106.77,111.62,150718671,105.3731431,110.2817688,105.0288507,109.7997595,150718671,0,1
AAPL,2020-09-24 00:00:00+00:00,108.22,110.25,105,105.17,167743349,106.4552049,108.4521007,103.287715,103.4549427,167743349,0,1
AAPL,2020-09-25 00:00:00+00:00,112.28,112.44,107.67,108.43,149981441,110.4489965,110.6063873,105.914174,106.6617803,149981441,0,1
AAPL,2020-09-28 00:00:00+00:00,114.96,115.32,112.78,115.01,137672403,113.0852925,113.4394218,110.9408428,113.1344771,137672403,0,1
AAPL,2020-09-29 00:00:00+00:00,114.09,115.31,113.57,114.55,100060526,112.22948,113.4295849,111.7179599,112.6819786,100060526,0,1
AAPL,2020-09-30 00:00:00+00:00,115.81,117.26,113.62,113.79,142675184,113.9214312,115.3477853,111.7671445,111.9343723,142675184,0,1
AAPL,2020-10-01 00:00:00+00:00,116.79,117.72,115.83,117.64,116120440,114.8854498,115.8002839,113.941105,115.7215885,116120440,0,1
AAPL,2020-10-02 00:00:00+00:00,113.02,115.37,112.22,112.89,144711986,111.176929,113.4886064,110.389975,111.049049,144711986,0,1
AAPL,2020-10-05 00:00:00+00:00,116.5,116.65,113.55,113.91,106243839,114.600179,114.7477329,111.698286,112.0524154,106243839,0,1
AAPL,2020-10-06 00:00:00+00:00,113.16,116.12,112.25,115.7,161498212,111.314646,114.2263758,110.4194858,113.813225,161498212,0,1
AAPL,2020-10-07 00:00:00+00:00,115.08,115.55,114.13,114.62,96848985,113.2033356,113.6656711,112.2688277,112.750837,96848985,0,1
AAPL,2020-10-08 00:00:00+00:00,114.97,116.4,114.5901,116.25,83477153,113.0951294,114.5018097,112.7214246,114.3542559,83477153,0,1
AAPL,2020-10-09 00:00:00+00:00,116.97,117,114.92,115.28,100506865,115.0625145,115.0920253,113.0459448,113.4000741,100506865,0,1
AAPL,2020-10-12 00:00:00+00:00,124.4,125.18,119.2845,120.06,240226769,122.3713499,123.1386301,117.3392708,118.1021244,240226769,0,1
AAPL,2020-10-13 00:00:00+00:00,121.1,125.39,119.65,125.27,262330451,119.1251646,123.3452055,117.6988104,123.2271624,262330451,0,1
